nohup: ignoring input
Enviado: temp=25.0, hum=93.3, energy=246.80
Enviado: temp=24.0, hum=83.2, energy=172.99
Enviado: temp=23.1, hum=44.7, energy=130.01
Enviado: temp=20.0, hum=66.3, energy=127.68
Enviado: temp=18.9, hum=81.3, energy=245.16
Enviado: temp=21.3, hum=93.2, energy=199.40
Enviado: temp=17.1, hum=89.0, energy=280.40
Enviado: temp=20.1, hum=94.1, energy=100.10
Enviado: temp=19.8, hum=51.1, energy=183.02
Enviado: temp=16.1, hum=52.2, energy=169.01
Enviado: temp=17.3, hum=85.0, energy=242.89
Enviado: temp=23.6, hum=99.7, energy=254.47
Enviado: temp=23.7, hum=87.6, energy=131.94
Enviado: temp=18.5, hum=81.7, energy=164.59
Enviado: temp=15.6, hum=70.8, energy=176.32
Enviado: temp=15.1, hum=45.7, energy=262.00
Enviado: temp=19.4, hum=73.4, energy=271.11
Enviado: temp=18.9, hum=65.4, energy=204.09
Enviado: temp=23.9, hum=93.0, energy=254.94
Enviado: temp=21.9, hum=86.1, energy=278.94
Enviado: temp=16.7, hum=47.0, energy=223.23
Enviado: temp=16.1, hum=93.0, energy=130.66
Enviado: temp=16.7, hum=94.7, energy=172.57
Enviado: temp=15.5, hum=45.1, energy=117.25
Enviado: temp=17.4, hum=44.7, energy=228.20
Enviado: temp=23.9, hum=55.0, energy=121.50
Enviado: temp=19.3, hum=51.5, energy=166.99
Enviado: temp=20.7, hum=68.3, energy=215.93
Enviado: temp=15.0, hum=74.6, energy=170.15
Enviado: temp=20.2, hum=97.7, energy=255.53
Enviado: temp=20.3, hum=87.7, energy=107.67
Enviado: temp=15.0, hum=75.7, energy=168.97
Enviado: temp=16.6, hum=49.7, energy=159.71
Enviado: temp=24.0, hum=90.4, energy=132.62
Enviado: temp=22.3, hum=79.8, energy=185.18
Enviado: temp=18.7, hum=95.6, energy=199.01
Enviado: temp=20.1, hum=51.0, energy=202.74
Enviado: temp=15.5, hum=77.7, energy=243.16
Enviado: temp=22.2, hum=47.1, energy=221.77
Enviado: temp=24.9, hum=66.1, energy=196.10
Enviado: temp=22.3, hum=53.0, energy=275.15
Enviado: temp=15.1, hum=46.2, energy=135.38
Enviado: temp=17.8, hum=56.5, energy=150.89
Enviado: temp=17.8, hum=46.8, energy=141.32
Enviado: temp=18.8, hum=50.9, energy=220.73
Enviado: temp=15.1, hum=42.5, energy=120.48
